title,description,link
"Commure Ambient AI: Real-Time AI Summary Generation","Use a generated note to create a real-time AI summary for their next patient visit.  ","https://www.youtube.com/watch?v=al00CJxuwY8"
"Commure Ambient Autocoding Slides","Overview of Commure Ambient Autocoding","<!--ARCADE EMBED START--><div style=""position: relative; padding-bottom: calc(56.25% + 41px); height: 0px; width: 100%;""><iframe src=""https://demo.arcade.software/Z9hYN6Nkbpcc4kEsbfSd?embed&embed_mobile=tab&embed_desktop=inline&show_copy_link=true"" title=""Commure Ambient Autocoding Overview"" frameborder=""0"" loading=""lazy"" webkitallowfullscreen mozallowfullscreen allowfullscreen allow=""clipboard-write"" style=""position: absolute; top: 0; left: 0; width: 100%; height: 100%; color-scheme: light;"" ></iframe></div><!--ARCADE EMBED END-->"
"Commure Athelas Intake ","Video overview of Athelas Intake, our data extraction agent.","https://youtu.be/KoEykhgtC1M"
"Commure Ambient Demo - 5min","5min demo overview of Commure Ambient (Sept 2025)","https://youtu.be/DwQpW2RXqTY"
"AI Patient Front Call Center","Commure Call Center 1 Page Overview","https://drive.google.com/file/d/106RAlppx_j4knldyFTCSrc_Cf2vIPlPC/view?usp=sharing"
"Tanay Tandon - Becker's Healthcare: Podcast","","https://www.beckershospitalreview.com/podcasts/podcasts-beckers-hospital-review/strategic-ai-partnerships-to-empower-health-systems-with-tanay-tandon-ceo-of-commure-139782797/"
"Commure 2024 Growth","","https://www.commure.com/blog/commure-growth-explodes-in-2024-powering-ai-and-sensors-for-250k-providers-transforming-healthcare-delivery"
"Commure Named Fortune 50","","https://www.globenewswire.com/news-release/2025/09/18/3152340/0/en/Commure-Named-to-the-2025-Fortune-Future-50-List.html"
"Commure Raises 200m - PR","","https://www.commure.com/press-releases/commure-raises-200m-in-growth-financing-from-general-catalysts-cvf-to-accelerate-ai-powered-rcm-platform"
"Athelas + Commure: Merging to Create a $6B Healthcare Infrastructure Company","","https://www.athelas.com/tbh/athelas-commure-merging-to-create-a-6b-healthcare-infrastructure-company"
"Commure Raises 200m - Blog","","https://www.commure.com/blog/commure-secures-200m-to-accelerate-ai-powered-healthcare-transformation"
"Commure Ambient & Expanse API Integration","Commure Ambient & Meditech Expanse API integration demo for Scheduling and Writeback. ","<!--ARCADE EMBED START--><div style=""position: relative; padding-bottom: calc(58.952% + 41px); height: 0px; width: 100%;""><iframe src=""https://demo.arcade.software/veSwHu6y9F2fqwh2C3be?embed&embed_mobile=tab&embed_desktop=inline&show_copy_link=true"" title=""Commure Ambient - Meditech Expanse API Writeback"" frameborder=""0"" loading=""lazy"" webkitallowfullscreen mozallowfullscreen allowfullscreen allow=""clipboard-write"" style=""position: absolute; top: 0; left: 0; width: 100%; height: 100%; color-scheme: light;"" ></iframe></div><!--ARCADE EMBED END-->"
